70471209097;STEPIEN;ADAM
05290368205;DUDEK;ANTONINA
92112323243;MALINOWSKI;ANTONINA
25502140692;DABROWSKI;MARCEL
42270771288;KROL;MAJA
87662218855;ZAJAC;JAN
71661712687;WOZNIAK;LENA
57110796857;MALINOWSKI;KACPER
29240261554;NOWICKI;PIOTR
48671733021;KOZLOWSKI;JULIA
91502312403;SZYMANSKI;ALEKSANDRA
87712761276;DUDEK;WOJCIECH
39630895542;ZIELINSKI;MAJA
46672317477;KOWALCZYK;ADAM
68920113385;JAWORSKI;ZOFIA
87300308726;DUDEK;ZOFIA
66422727482;OLSZEWSKI;OLIWIA
57260803159;ZAJAC;PIOTR
04032590681;WOJCIK;LENA
05922995496;KRAWCZYK;JAKUB
35640149064;KROL;EMILIA
22220959885;KACZMAREK;HANNA
42052440706;ZIELINSKI;ZUZANNA
67510124440;GORSKI;NIKOLA
72110681374;KWIATKOWSKI;WOJCIECH
06690472321;ADAMCZYK;MAJA
74302582535;WOJCIK;FILIP
82712509390;SZYMANSKI;WOJCIECH
30881212847;GORSKI;MARIA
98433019896;SIKORA;BARTOSZ
61860493856;DABROWSKI;JAN
72250689744;GRABOWSKI;JULIA
25030331489;STEPIEN;ALICJA
82671415891;ZAJAC;MARCEL
87102342199;NOWAK;KACPER
34040983160;KOWALCZYK;AMELIA
06622051969;ADAMCZYK;EMILIA
95860920036;WOZNIAK;WOJCIECH
14882052608;WIECZOREK;ALEKSANDRA
95812097256;WOJCIECHOWSKI;SZYMON
30301531512;NOWICKI;FILIP
72890455251;PAWLOWSK;FRANCISZEK
32691667059;NOWAKOWSKI;ALEKSANDER
51302068333;ADAMCZYK;JAKUB
00890466197;WIECZOREK;PIOTR
05282219683;NOWAK;NADIA
21631382644;PAWLOWSK;ZOFIA
22021260371;ZAJAC;BARTOSZ
71072827806;WOJCIECHOWSKI;NADIA
69091039973;WITKOWSKI;JAKUB
18320792431;WROBEL;WIKTOR
18722168559;DABROWSKI;ADAM
99920553839;GORSKI;IGOR
42013070894;NOWAKOWSKI;FRANCISZEK
10462637829;SZYMANSKI;ZUZANNA
55241664546;MAZUR;ZUZANNA
14010268725;MAZUR;ZOFIA
52670248428;PIOTROWSKI;HANNA
99033180210;WROBEL;JAN
06071143925;WIECZOREK;ALEKSANDRA
81460927379;GORSKI;FRANCISZEK
14842569470;KACZMAREK;ALEKSANDER
53900401002;WITKOWSKI;EMILIA
61470924119;MALINOWSKI;KACPER
13260462666;WISNIEWSKI;MARIA
16212932765;SZYMANSKI;MAJA
34261394824;WITKOWSKI;AMELIA
90502349686;ZIELINSKI;LENA
05832608826;KOWALCZYK;MARIA
27302814212;MAJEWSKI;PIOTR
43870780322;ZAJAC;ANTONINA
19640299967;KOWALCZYK;ALEKSANDRA
57522989562;WOZNIAK;ALEKSANDRA
65682988305;RUTKOWSKI;ZUZANNA
44911414099;NOWICKI;WIKTOR
87220409877;JANKOWSKI;WOJCIECH
09240821969;WIECZOREK;HANNA
02681977185;DUDEK;NADIA
91672672846;WALCZA;ANNA
61831881329;ADAMCZYK;MAJA
43921629439;STEPIEN;WIKTOR
54312111064;NOWICKI;ZOFIA
57471892212;MALINOWSKI;IGOR
40831324140;PAWLOWSK;MARIA
11282236793;DUDEK;MATEUSZ
72101625125;STEPIEN;ZOFIA
49500785217;RUTKOWSKI;WIKTOR
41672134648;WIECZOREK;AMELIA
